id,x,y,dir_x,dir_y
62,137.629288,26.983316,-0.659193,-0.751974
63,139.596344,110.538261,-0.606763,0.794882
64,42.743999,109.807137,0.765115,-0.643893
65,87.443184,182.030884,-0.346572,0.938023
66,10.339525,152.495255,-0.998837,0.048222
67,80.842064,42.971069,0.992865,-0.119243
68,153.565552,120.717079,0.837218,-0.546869
69,22.348835,39.423481,0.668699,-0.743533
70,70.159424,87.136322,-0.904439,0.426603
71,165.268814,6.538781,-0.131058,0.991375
72,141.173676,143.434326,0.563124,0.826373
73,140.620453,160.027313,-0.966959,0.254932
74,155.639236,157.459915,0.871818,0.489830
75,151.704544,179.886703,0.999660,-0.026084
76,5.924449,18.309586,-0.999186,-0.040330
77,21.151941,117.510445,0.881013,-0.473092
78,83.009415,171.230347,0.146782,0.989169
79,106.983170,74.495605,0.949290,0.314402
80,98.643021,81.317619,0.862808,0.505532
81,189.742493,179.438126,0.662882,-0.748724
82,155.174973,102.413467,0.984793,-0.173733
83,23.537806,166.659225,-0.203522,-0.979070
84,90.126518,170.715164,0.517945,0.855414
85,75.620872,189.551498,0.699008,-0.715114
86,107.692879,56.330818,0.021655,0.999765
87,114.024666,156.464584,0.568841,0.822447
88,28.948101,192.507080,-0.949708,0.313136
89,185.473495,78.080818,-0.907501,-0.420050
90,166.923553,148.880447,-0.296562,-0.955014
91,125.393036,105.009567,0.921731,0.387830
92,188.533905,98.060875,-0.181300,0.983428
93,123.952293,22.223194,0.740339,-0.672234
94,81.017517,116.886429,0.182198,0.983262
95,67.216080,168.489166,0.843255,0.537515
96,33.398895,128.596024,-0.661293,0.750128
97,8.235820,167.247391,0.882159,-0.470951
98,108.729614,102.351585,-0.279428,0.960167
99,140.052353,157.749985,-0.397188,0.917737
100,109.021553,175.167953,0.804442,-0.594032
101,125.577446,121.467323,-0.772865,-0.634570
102,92.251465,120.855568,-0.833015,-0.553250
103,76.576912,151.783661,-0.580900,0.813975
104,193.262772,129.543274,-0.984398,0.175957
105,158.576080,97.685898,-0.067855,-0.997695
106,75.164017,113.301826,-0.451374,-0.892335
107,56.718796,8.436198,0.768684,0.639628
108,15.281362,160.661545,0.863208,0.504848
109,161.619873,66.418701,-0.993939,0.109932
110,64.598152,83.735039,0.075151,0.997172
111,185.029129,52.527279,-0.190394,-0.981708
112,178.809555,70.114632,0.776594,-0.630002
113,75.425743,18.371092,0.740414,0.672151
114,147.929764,189.322083,0.038871,-0.999244
115,120.619370,67.339363,-0.651666,-0.758506
116,40.951721,28.456947,-0.724637,0.689130
117,12.029600,146.955124,-0.675322,-0.737523
118,44.200577,155.258667,-0.050840,-0.998707
119,84.482239,138.680435,-0.998964,-0.045506
120,181.762802,28.895775,-0.997836,0.065751
121,42.612671,170.968979,-0.291690,0.956513
122,173.201019,142.839569,-0.601888,0.798580
123,91.122246,33.127617,0.691187,-0.722676
124,152.554169,122.626015,0.832997,-0.553278
125,95.353493,194.537598,0.961793,0.273777
126,88.014389,194.120132,0.798263,0.602309
127,162.939957,138.028030,0.872492,-0.488628
128,100.099854,66.666634,0.941474,-0.337086
129,36.377411,120.875435,-0.386070,0.922469
130,29.512148,120.713562,0.421968,-0.906611
131,152.617554,129.418854,-0.996222,-0.086837
132,24.260878,51.073540,-0.844167,-0.536080
133,106.385681,104.671120,-0.418170,0.908369
134,17.835518,156.198563,-0.737956,0.674849
135,52.679787,142.325195,0.134564,0.990905
136,64.987602,71.542137,-0.646973,-0.762513
137,118.229485,118.562057,0.350960,0.936390
138,97.884308,7.915345,0.148404,0.988927
139,68.138206,50.294559,0.948826,-0.315799
140,189.040207,195.019363,0.940722,-0.339180
141,72.108192,79.385071,-0.934661,0.355541
142,63.887379,65.481018,-0.989223,-0.146419
143,127.948402,89.539024,-0.160642,0.987013
144,112.919037,137.449799,1.000000,-0.000533
145,28.846685,153.332535,0.855001,0.518626
146,10.488380,141.206177,-0.073808,-0.997272
147,155.712250,30.969391,-0.450820,-0.892615
148,76.812218,132.078568,-0.610671,-0.791884
149,65.513405,69.834633,0.929102,0.369824
150,29.047792,149.712616,0.540232,-0.841516
